sample_id,species,functional_group,photosynthetic_pathway,site,batch,replicate_number_root,replicate_number_position,staining_success,hyphopodia,intrhyphae,arbuscule,coil,vesicle,spore,total,fire_frequency
1119,Poa pratensis,grass,C3,104,3,2,9,Y,0,0,0,0,0,0,0,0.8
1120,Poa pratensis,grass,C3,104,3,2,10,Y,0,0,0,0,0,0,0,0.8
1121,Poa pratensis,grass,C3,104,3,3,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1122,Poa pratensis,grass,C3,104,3,3,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1123,Poa pratensis,grass,C3,104,3,3,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1124,Poa pratensis,grass,C3,104,3,3,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1125,Poa pratensis,grass,C3,104,3,3,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1126,Poa pratensis,grass,C3,104,3,3,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1127,Poa pratensis,grass,C3,104,3,3,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1128,Poa pratensis,grass,C3,104,3,3,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1129,Poa pratensis,grass,C3,104,3,3,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1130,Poa pratensis,grass,C3,104,3,3,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1131,Poa pratensis,grass,C3,104,3,4,1,Y,1,1,0,0,0,0,2,0.8
1132,Poa pratensis,grass,C3,104,3,4,2,Y,1,1,0,0,0,0,2,0.8
1133,Poa pratensis,grass,C3,104,3,4,3,Y,0,0,0,0,0,0,0,0.8
1134,Poa pratensis,grass,C3,104,3,4,4,Y,0,0,0,0,0,0,0,0.8
1135,Poa pratensis,grass,C3,104,3,4,5,Y,0,0,0,0,0,0,0,0.8
1136,Poa pratensis,grass,C3,104,3,4,6,Y,0,1,0,0,0,0,1,0.8
1137,Poa pratensis,grass,C3,104,3,4,7,Y,1,1,0,1,0,0,3,0.8
1138,Poa pratensis,grass,C3,104,3,4,8,Y,0,1,0,0,0,0,1,0.8
1139,Poa pratensis,grass,C3,104,3,4,9,Y,1,1,0,0,0,0,2,0.8
1140,Poa pratensis,grass,C3,104,3,4,10,Y,0,0,0,0,0,0,0,0.8
1141,Poa pratensis,grass,C3,104,3,5,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1142,Poa pratensis,grass,C3,104,3,5,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1143,Poa pratensis,grass,C3,104,3,5,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1144,Poa pratensis,grass,C3,104,3,5,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1145,Poa pratensis,grass,C3,104,3,5,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1146,Poa pratensis,grass,C3,104,3,5,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1147,Poa pratensis,grass,C3,104,3,5,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1148,Poa pratensis,grass,C3,104,3,5,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1149,Poa pratensis,grass,C3,104,3,5,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1150,Poa pratensis,grass,C3,104,3,6,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1151,Poa pratensis,grass,C3,104,3,6,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1152,Poa pratensis,grass,C3,104,3,6,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1153,Poa pratensis,grass,C3,104,3,6,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1154,Poa pratensis,grass,C3,104,3,6,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1155,Poa pratensis,grass,C3,104,3,6,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1156,Poa pratensis,grass,C3,104,3,6,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1157,Poa pratensis,grass,C3,104,3,6,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1158,Poa pratensis,grass,C3,104,3,6,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1159,Poa pratensis,grass,C3,104,3,6,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1160,Poa pratensis,grass,C3,104,3,6,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1161,Poa pratensis,grass,C3,104,3,7,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1162,Poa pratensis,grass,C3,104,3,7,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1163,Poa pratensis,grass,C3,104,3,7,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1164,Poa pratensis,grass,C3,104,3,7,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1165,Poa pratensis,grass,C3,104,3,7,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1166,Poa pratensis,grass,C3,104,3,7,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1167,Poa pratensis,grass,C3,104,3,7,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1168,Poa pratensis,grass,C3,104,3,7,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1169,Poa pratensis,grass,C3,104,3,7,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1170,Poa pratensis,grass,C3,104,3,7,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1171,Poa pratensis,grass,C3,104,3,8,1,Y,0,0,0,0,0,0,0,0.8
1172,Poa pratensis,grass,C3,104,3,8,2,Y,1,0,0,0,0,0,1,0.8
1173,Poa pratensis,grass,C3,104,3,8,3,Y,1,0,0,0,0,0,1,0.8
1174,Poa pratensis,grass,C3,104,3,8,4,Y,1,0,0,0,0,0,1,0.8
1175,Poa pratensis,grass,C3,104,3,8,5,Y,1,0,0,0,0,0,1,0.8
1176,Poa pratensis,grass,C3,104,3,8,6,Y,1,0,0,0,0,0,1,0.8
1177,Poa pratensis,grass,C3,104,3,8,7,Y,1,0,1,0,0,0,2,0.8
1178,Poa pratensis,grass,C3,104,3,8,8,Y,1,1,1,0,0,0,3,0.8
1179,Poa pratensis,grass,C3,104,3,8,9,Y,0,0,0,0,0,0,0,0.8
1180,Poa pratensis,grass,C3,104,3,8,10,Y,1,0,1,0,0,0,2,0.8
1181,Poa pratensis,grass,C3,104,3,9,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1182,Poa pratensis,grass,C3,104,3,9,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1183,Poa pratensis,grass,C3,104,3,9,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1184,Poa pratensis,grass,C3,104,3,9,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1185,Poa pratensis,grass,C3,104,3,9,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1186,Poa pratensis,grass,C3,104,3,9,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1187,Poa pratensis,grass,C3,104,3,9,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1188,Poa pratensis,grass,C3,104,3,9,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1189,Poa pratensis,grass,C3,104,3,9,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1190,Poa pratensis,grass,C3,104,3,9,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1191,Poa pratensis,grass,C3,104,3,10,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1192,Poa pratensis,grass,C3,104,3,10,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1193,Poa pratensis,grass,C3,104,3,10,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1194,Poa pratensis,grass,C3,104,3,10,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1195,Poa pratensis,grass,C3,104,3,10,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1196,Poa pratensis,grass,C3,104,3,10,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1197,Poa pratensis,grass,C3,104,3,10,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1198,Poa pratensis,grass,C3,104,3,10,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1199,Poa pratensis,grass,C3,104,3,10,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1200,Poa pratensis,grass,C3,104,3,10,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1401,Sorghastrum nutans,grass,C4,104,3,1,1,Y,0,0,0,0,0,0,0,0.8
1402,Sorghastrum nutans,grass,C4,104,3,1,2,Y,0,0,0,0,0,0,0,0.8
1403,Sorghastrum nutans,grass,C4,104,3,1,3,Y,0,0,0,0,0,0,0,0.8
1404,Sorghastrum nutans,grass,C4,104,3,1,4,Y,0,0,0,0,0,0,0,0.8
1405,Sorghastrum nutans,grass,C4,104,3,1,5,Y,0,0,0,0,0,0,0,0.8
1406,Sorghastrum nutans,grass,C4,104,3,1,6,Y,1,1,0,0,0,0,2,0.8
1407,Sorghastrum nutans,grass,C4,104,3,1,7,Y,1,1,0,0,0,0,2,0.8
1408,Sorghastrum nutans,grass,C4,104,3,1,8,Y,0,0,0,0,0,0,0,0.8
1409,Sorghastrum nutans,grass,C4,104,3,1,9,Y,0,0,0,0,0,0,0,0.8
1410,Sorghastrum nutans,grass,C4,104,3,1,10,Y,0,0,0,0,0,0,0,0.8
1411,Sorghastrum nutans,grass,C4,104,3,2,1,Y,0,0,1,0,0,0,1,0.8
1412,Sorghastrum nutans,grass,C4,104,3,2,2,Y,0,0,0,0,0,0,0,0.8
1413,Sorghastrum nutans,grass,C4,104,3,2,3,Y,0,0,1,0,0,0,1,0.8
1414,Sorghastrum nutans,grass,C4,104,3,2,4,Y,0,0,0,0,0,0,0,0.8
1415,Sorghastrum nutans,grass,C4,104,3,2,5,Y,0,0,0,0,0,0,0,0.8
1416,Sorghastrum nutans,grass,C4,104,3,2,6,Y,0,0,0,0,0,0,0,0.8
1417,Sorghastrum nutans,grass,C4,104,3,2,7,Y,0,0,0,0,0,0,0,0.8
1418,Sorghastrum nutans,grass,C4,104,3,2,8,Y,0,0,0,0,0,0,0,0.8
1419,Sorghastrum nutans,grass,C4,104,3,2,9,Y,0,0,0,0,0,0,0,0.8
1420,Sorghastrum nutans,grass,C4,104,3,2,10,Y,0,0,0,0,0,0,0,0.8
1421,Sorghastrum nutans,grass,C4,104,3,3,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1422,Sorghastrum nutans,grass,C4,104,3,3,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1423,Sorghastrum nutans,grass,C4,104,3,3,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1424,Sorghastrum nutans,grass,C4,104,3,3,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1425,Sorghastrum nutans,grass,C4,104,3,3,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1426,Sorghastrum nutans,grass,C4,104,3,3,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1427,Sorghastrum nutans,grass,C4,104,3,3,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1428,Sorghastrum nutans,grass,C4,104,3,3,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1429,Sorghastrum nutans,grass,C4,104,3,3,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1430,Sorghastrum nutans,grass,C4,104,3,3,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1431,Sorghastrum nutans,grass,C4,104,3,4,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1432,Sorghastrum nutans,grass,C4,104,3,4,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1433,Sorghastrum nutans,grass,C4,104,3,4,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1434,Sorghastrum nutans,grass,C4,104,3,4,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1435,Sorghastrum nutans,grass,C4,104,3,4,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1436,Sorghastrum nutans,grass,C4,104,3,4,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1437,Sorghastrum nutans,grass,C4,104,3,4,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1438,Sorghastrum nutans,grass,C4,104,3,4,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1439,Sorghastrum nutans,grass,C4,104,3,4,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1440,Sorghastrum nutans,grass,C4,104,3,4,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1441,Sorghastrum nutans,grass,C4,104,3,5,1,Y,1,1,1,0,0,0,3,0.8
1442,Sorghastrum nutans,grass,C4,104,3,5,2,Y,0,1,0,0,0,0,1,0.8
1443,Sorghastrum nutans,grass,C4,104,3,5,3,Y,0,1,0,0,0,0,1,0.8
1444,Sorghastrum nutans,grass,C4,104,3,5,4,Y,0,1,1,0,0,0,2,0.8
1445,Sorghastrum nutans,grass,C4,104,3,5,5,Y,1,1,1,0,0,0,3,0.8
1446,Sorghastrum nutans,grass,C4,104,3,5,6,Y,0,0,1,0,1,1,3,0.8
1447,Sorghastrum nutans,grass,C4,104,3,5,7,Y,0,0,0,0,0,0,0,0.8
1448,Sorghastrum nutans,grass,C4,104,3,5,8,Y,0,0,1,0,0,0,1,0.8
1449,Sorghastrum nutans,grass,C4,104,3,5,9,Y,0,0,0,0,0,0,0,0.8
1450,Sorghastrum nutans,grass,C4,104,3,6,10,Y,0,0,1,0,0,0,1,0.8
1451,Sorghastrum nutans,grass,C4,104,3,6,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1452,Sorghastrum nutans,grass,C4,104,3,6,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1453,Sorghastrum nutans,grass,C4,104,3,6,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1454,Sorghastrum nutans,grass,C4,104,3,6,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1455,Sorghastrum nutans,grass,C4,104,3,6,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1456,Sorghastrum nutans,grass,C4,104,3,6,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1457,Sorghastrum nutans,grass,C4,104,3,6,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1458,Sorghastrum nutans,grass,C4,104,3,6,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1459,Sorghastrum nutans,grass,C4,104,3,6,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1460,Sorghastrum nutans,grass,C4,104,3,6,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1461,Sorghastrum nutans,grass,C4,104,3,7,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1462,Sorghastrum nutans,grass,C4,104,3,7,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1463,Sorghastrum nutans,grass,C4,104,3,7,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1464,Sorghastrum nutans,grass,C4,104,3,7,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1465,Sorghastrum nutans,grass,C4,104,3,7,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1466,Sorghastrum nutans,grass,C4,104,3,7,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1467,Sorghastrum nutans,grass,C4,104,3,7,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1468,Sorghastrum nutans,grass,C4,104,3,7,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1469,Sorghastrum nutans,grass,C4,104,3,7,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1470,Sorghastrum nutans,grass,C4,104,3,7,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1471,Sorghastrum nutans,grass,C4,104,3,8,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1472,Sorghastrum nutans,grass,C4,104,3,8,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1473,Sorghastrum nutans,grass,C4,104,3,8,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1474,Sorghastrum nutans,grass,C4,104,3,8,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1475,Sorghastrum nutans,grass,C4,104,3,8,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1476,Sorghastrum nutans,grass,C4,104,3,8,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1477,Sorghastrum nutans,grass,C4,104,3,8,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1478,Sorghastrum nutans,grass,C4,104,3,8,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1479,Sorghastrum nutans,grass,C4,104,3,8,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1480,Sorghastrum nutans,grass,C4,104,3,8,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1481,Sorghastrum nutans,grass,C4,104,3,9,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1482,Sorghastrum nutans,grass,C4,104,3,9,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1483,Sorghastrum nutans,grass,C4,104,3,9,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1484,Sorghastrum nutans,grass,C4,104,3,9,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1485,Sorghastrum nutans,grass,C4,104,3,9,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1486,Sorghastrum nutans,grass,C4,104,3,9,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1487,Sorghastrum nutans,grass,C4,104,3,9,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1488,Sorghastrum nutans,grass,C4,104,3,9,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1489,Sorghastrum nutans,grass,C4,104,3,9,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1490,Sorghastrum nutans,grass,C4,104,3,9,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1491,Sorghastrum nutans,grass,C4,104,3,10,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1492,Sorghastrum nutans,grass,C4,104,3,10,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1493,Sorghastrum nutans,grass,C4,104,3,10,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1494,Sorghastrum nutans,grass,C4,104,3,10,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1495,Sorghastrum nutans,grass,C4,104,3,10,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1496,Sorghastrum nutans,grass,C4,104,3,10,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1497,Sorghastrum nutans,grass,C4,104,3,10,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1498,Sorghastrum nutans,grass,C4,104,3,10,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1499,Sorghastrum nutans,grass,C4,104,3,10,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1500,Sorghastrum nutans,grass,C4,104,3,10,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1501,Amphicarpa bracteata,legume,C3,104,3,1,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1502,Amphicarpa bracteata,legume,C3,104,3,1,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1503,Amphicarpa bracteata,legume,C3,104,3,1,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1504,Amphicarpa bracteata,legume,C3,104,3,1,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1505,Amphicarpa bracteata,legume,C3,104,3,1,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1506,Amphicarpa bracteata,legume,C3,104,3,1,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1507,Amphicarpa bracteata,legume,C3,104,3,1,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1508,Amphicarpa bracteata,legume,C3,104,3,1,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1509,Amphicarpa bracteata,legume,C3,104,3,1,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1510,Amphicarpa bracteata,legume,C3,104,3,1,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1511,Amphicarpa bracteata,legume,C3,104,3,2,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1512,Amphicarpa bracteata,legume,C3,104,3,2,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1513,Amphicarpa bracteata,legume,C3,104,3,2,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1514,Amphicarpa bracteata,legume,C3,104,3,2,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1515,Amphicarpa bracteata,legume,C3,104,3,2,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1516,Amphicarpa bracteata,legume,C3,104,3,2,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1517,Amphicarpa bracteata,legume,C3,104,3,2,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1518,Amphicarpa bracteata,legume,C3,104,3,2,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1519,Amphicarpa bracteata,legume,C3,104,3,2,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1520,Amphicarpa bracteata,legume,C3,104,3,2,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1521,Amphicarpa bracteata,legume,C3,104,3,3,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1522,Amphicarpa bracteata,legume,C3,104,3,3,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1523,Amphicarpa bracteata,legume,C3,104,3,3,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1524,Amphicarpa bracteata,legume,C3,104,3,3,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1525,Amphicarpa bracteata,legume,C3,104,3,3,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1526,Amphicarpa bracteata,legume,C3,104,3,3,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1527,Amphicarpa bracteata,legume,C3,104,3,3,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1528,Amphicarpa bracteata,legume,C3,104,3,3,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1529,Amphicarpa bracteata,legume,C3,104,3,3,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1530,Amphicarpa bracteata,legume,C3,104,3,3,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1531,Amphicarpa bracteata,legume,C3,104,3,4,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1532,Amphicarpa bracteata,legume,C3,104,3,4,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1533,Amphicarpa bracteata,legume,C3,104,3,4,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1534,Amphicarpa bracteata,legume,C3,104,3,4,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1535,Amphicarpa bracteata,legume,C3,104,3,4,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1536,Amphicarpa bracteata,legume,C3,104,3,4,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1537,Amphicarpa bracteata,legume,C3,104,3,4,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1538,Amphicarpa bracteata,legume,C3,104,3,4,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1539,Amphicarpa bracteata,legume,C3,104,3,4,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1540,Amphicarpa bracteata,legume,C3,104,3,4,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1541,Amphicarpa bracteata,legume,C3,104,3,5,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1542,Amphicarpa bracteata,legume,C3,104,3,5,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1543,Amphicarpa bracteata,legume,C3,104,3,5,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1544,Amphicarpa bracteata,legume,C3,104,3,5,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1545,Amphicarpa bracteata,legume,C3,104,3,5,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1546,Amphicarpa bracteata,legume,C3,104,3,5,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1547,Amphicarpa bracteata,legume,C3,104,3,5,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1548,Amphicarpa bracteata,legume,C3,104,3,5,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1549,Amphicarpa bracteata,legume,C3,104,3,5,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1550,Amphicarpa bracteata,legume,C3,104,3,6,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1551,Amphicarpa bracteata,legume,C3,104,3,6,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
